Psalm 151:1  <b>[Goliath]</b> ﻿Greek [Goliad]. 
Psalm 151:3  <b>[hears]</b> ﻿Codex Sinaiticus: [hears everything.]; Codex Alexandrinus: [who will hear me.] 
Psalm 151:4  <b>[messenger]</b> ﻿Or [angel]. 
Manasseh 1:1  <b>[Almighty]</b> ﻿Codex Alexandrinus adds [in heaven]. 
Manasseh 1:2  <b>[and]</b> ﻿Greek [with]. <br>&nbsp;&nbsp;<b>[universe]</b> ﻿Or [adornment]. Greek [cosmos]. 
Manasseh 1:7  <b>[trouble]</b> Latin adds [Lord, according to your great goodness, you have promised repentance and forgiveness to those that have sinned against you, and in your infinite mercy have appointed repentance for sinners, so that they may be saved.] 
Manasseh 1:9  <b>[my transgressions]</b> Codex Alexandrinus reads [For my transgressions]. <br>&nbsp;&nbsp;<b>[they]</b> ﻿Latin reads [my transgressions]. <br>&nbsp;&nbsp;<b>[Lord, they are multiplied,]</b> ﻿Codex Alexandrinus omits. <br>&nbsp;&nbsp;<b>[iniquities]</b> Latin adds [Lord I now suffer justly, I deserve the trouble I receive, I am caught in a trap.] 
Manasseh 1:10  <b>[I am rejected because of my sins]</b> ﻿Latin reads [so that I cannot lift up my head]. <br>&nbsp;&nbsp;&nbsp;<b>[can find]</b> ﻿Greek [have]. <br>&nbsp;&nbsp;&nbsp;<b>[you]</b> Latin adds I did not your will. <br>&nbsp;&nbsp;&nbsp;<b>[abominable things]</b> ﻿Greek [objects of anger]. This word is often translated abominations (see 2 Kings 23:13). 
Manasseh 1:13  <b>[and do not]</b> ﻿Greek [neither]. <br>&nbsp;&nbsp;&nbsp;<b>[Lord]</b> ﻿Latin reads [God]. 
Manasseh 1:15  <b>[forever]</b> ﻿Latin reads [forever and ever] 
Laodiceans 1:2  <b>[God the]</b> ﻿Some manuscripts [God our]. 
Laodiceans 1:5  <b>[So]</b> ﻿Greek: [And]. <br>&nbsp;&nbsp;<b>[imitators of me]</b> ﻿Greek [of mine]. <br>&nbsp;&nbsp;<b>[［…］]</b> ﻿A section appears to be missing, according to J.B. Lightfoot. <br>&nbsp;&nbsp;<b>[［and］]</b> ﻿It is doubtful that this word was in the original Greek. 
Laodiceans 1:6  <b>[imprisonment]</b> ﻿Greek [chains]. 
Laodiceans 1:10  <b>[God]</b> ﻿J.B. Lightfoot's Greek text has [Lord], but this is not present in any Latin manuscripts. <br>&nbsp;&nbsp;&nbsp;<b>[life,]</b> ﻿The Latin and Greek text end the sentence here. 
Laodiceans 1:15  <b>[and lovely,]</b> Some manuscripts add [and pure].
Laodiceans 1:17  Most manuscripts omit verse 17.
Laodiceans 1:18  One manuscript omits verse 18.
Laodiceans 1:19  Some manuscripts omit [Christ].
Laodiceans 1:20  <b>[you.]</b> One manuscript adds [Amen.], another manuscript omits verse 20.
